"Order Custom Data", "その他情報"
"Delivery Date", "到着指定日"
"Delivery Date:", "到着指定日:"
"Delivery Time", "指定時間帯"
"Delivery Time:", "指定時間帯:"
"Delivery Date","お届け希望日"
"Delivery Date:","お届け指定日:"
"Delivery Time:","お届け時間帯:"
"Order Custom Data","お届け日・時間帯指定"
"none","指定なし"
"morning","午前中"
"12-14","12時〜14時"
"14-16","14時〜16時"
"16-18","16時〜18時"
"18-20","18時〜20時"
"20-21","20時〜21時"
"Don't specify delivery date","お届け日を指定しない"
"Not specific","指定しない"
"Delivery Information","配達情報"
"Delivery Date Settings","配送日付設定"
"Enabled","有効"
"Minimum require days after place order","注文した後最低必要な日数"
"Maximum days","最大選択できる日数"
"Date format","日付フォーマット"
"Exclude Holiday?","休日を除外する"
"Holiday List","休日一覧"
"Exclude Saturday and Sunday?","土日を除外する"
"Disallow specific shipping methods","配送方法によって無効にする"
"Disallowed shipping methods","無効の配送方法"
"Time Segment","指定時間帯"
"Delivery Time settings","時間帯の設定"
"Date settings","日付の設定"
"Format code: Y = year in four digits, y = year in two digit. m = month. d = day. Ex: Y年m月d日","フォーマットコード：Y = 年の４数字。 y = 年の２数字。 m = 月の２数字。 d = 日の２数字。 例） Y年m月d日"
"One day per line. Date format: yyyy-mm-dd. Ex: <br/>2011-10-10<br />2011-11-23","一行に一日。日付フォーマット：yyyy-mm-dd。例）<br/>2011-10-10<br />2011-11-23"
"One segment on one line. Ex: <br/>午前中<br />12時～14時<br />14時～16時<br />16時～18時<br/>18時～21時","一行に一時間帯。例）Ex: <br/>午前中<br />12時～14時<br />14時～16時<br />16時～18時<br/>18時～21時"
"Update delivery date and time successful.","お届け日と時間帯を更新しました。"
"Invalid data.","不正なデータ"
"Order does not exist.","注文データがありません。"
"Can not edit this order.","この注文データは編集できません。"
"Mininum required days settings","最小所要日数設定"
"Type","種別"
"Type fixed","固定"
"Type day by day","曜日別"
"AM/PM break time","午前/午後の区切り時間"
"Monday AM","月曜AM"
"Monday PM","月曜PM"
"Tuesday AM","火曜AM"
"Tuesday PM","火曜PM"
"Wednesday AM","水曜AM"
"Wednesday PM","水曜PM"
"Thursday AM","木曜AM"
"Thursday PM","木曜PM"
"Friday AM","金曜AM"
"Friday PM","金曜PM"
"Saturday AM","土曜AM"
"Saturday PM","土曜PM"
"Sunday AM","日曜AM"
"Sunday PM","日曜PM"
"Use calendar for delivery date","カレンダーを利用する"
"Using calendar instead of selectbox.","セレクトボックスの代わりにカレンダーを利用します。"